OBJECTID,DATE,Count_
168,2020/09/01 10:00:00+00,6
169,2020/09/02 10:00:00+00,8
170,2020/09/03 10:00:00+00,14
171,2020/09/04 10:00:00+00,5
172,2020/09/05 10:00:00+00,7
173,2020/09/06 10:00:00+00,2
174,2020/09/07 10:00:00+00,4
175,2020/09/08 10:00:00+00,2
176,2020/09/09 10:00:00+00,8
177,2020/09/10 10:00:00+00,10
178,2020/09/11 10:00:00+00,4
179,2020/09/12 10:00:00+00,4
180,2020/09/13 10:00:00+00,3
181,2020/09/14 10:00:00+00,9
182,2020/09/15 10:00:00+00,9
183,2020/09/16 10:00:00+00,6
184,2020/09/17 10:00:00+00,5
185,2020/09/18 10:00:00+00,7
186,2020/09/19 10:00:00+00,6
187,2020/09/20 10:00:00+00,7
188,2020/09/21 10:00:00+00,5
189,2020/09/22 10:00:00+00,4
190,2020/09/23 10:00:00+00,12
191,2020/09/24 10:00:00+00,3
192,2020/09/25 10:00:00+00,8
193,2020/09/26 10:00:00+00,7
194,2020/09/27 10:00:00+00,5
195,2020/09/28 10:00:00+00,7
196,2020/09/29 10:00:00+00,3
197,2020/09/30 10:00:00+00,2
198,2020/10/01 10:00:00+00,8
199,2020/10/02 10:00:00+00,8
200,2020/10/03 10:00:00+00,3
201,2020/10/04 10:00:00+00,6
202,2020/10/05 10:00:00+00,7
203,2020/10/06 10:00:00+00,7
204,2020/10/07 10:00:00+00,10
205,2020/10/08 10:00:00+00,6
206,2020/10/09 10:00:00+00,8
207,2020/10/10 10:00:00+00,5
208,2020/10/11 10:00:00+00,6
209,2020/10/12 10:00:00+00,3
210,2020/10/13 10:00:00+00,10
211,2020/10/14 10:00:00+00,5
212,2020/10/15 10:00:00+00,5
213,2020/10/16 10:00:00+00,7
214,2020/10/17 10:00:00+00,3
215,2020/10/18 10:00:00+00,8
216,2020/10/19 10:00:00+00,6
217,2020/10/20 10:00:00+00,12
218,2020/10/21 10:00:00+00,8
219,2020/10/22 10:00:00+00,10
220,2020/10/23 10:00:00+00,7
221,2020/10/24 10:00:00+00,6
222,2020/10/25 10:00:00+00,6
223,2020/10/26 10:00:00+00,4
224,2020/10/27 10:00:00+00,6
225,2020/10/28 10:00:00+00,12
226,2020/10/29 10:00:00+00,13
227,2020/10/30 10:00:00+00,10
228,2020/10/31 10:00:00+00,8
229,2020/11/01 10:00:00+00,5
230,2020/11/02 10:00:00+00,6
231,2020/11/03 10:00:00+00,13
232,2020/11/04 10:00:00+00,11
233,2020/11/05 10:00:00+00,14
234,2020/11/06 10:00:00+00,11
235,2020/11/07 10:00:00+00,13
236,2020/11/08 10:00:00+00,8
237,2020/11/09 10:00:00+00,12
238,2020/11/10 10:00:00+00,15
239,2020/11/11 10:00:00+00,11
240,2020/11/12 10:00:00+00,18
241,2020/11/13 10:00:00+00,20
242,2020/11/14 10:00:00+00,12
243,2020/11/15 10:00:00+00,16
244,2020/11/16 10:00:00+00,16
245,2020/11/17 10:00:00+00,19
246,2020/11/18 10:00:00+00,22
247,2020/11/19 10:00:00+00,16
248,2020/11/20 10:00:00+00,19
249,2020/11/21 10:00:00+00,36
250,2020/11/22 10:00:00+00,19
251,2020/11/23 10:00:00+00,32
252,2020/11/24 10:00:00+00,29
